brand,model,generation,production_start,production_end,body_type,provider
"Master Solutions","Master Solutions","","","","","nhtsa-vpic"
"Master Tow","Master Tow","","","","","nhtsa-vpic"
"MasterBuilt Manufacturing Inc.","MasterBuilt Manufacturing Inc.","","","","","nhtsa-vpic"
"Mastercarry Trailer Manufacturing","Mastercarry Trailer Manufacturing","","","","","nhtsa-vpic"
"Mastercraft Tools Florida, Inc. dba Altocraft USA","Mastercraft Tools Florida, Inc. dba Altocraft USA","","","","","nhtsa-vpic"
"Masterpiece Trailers, LLC","Masterpiece Trailers, LLC","","","","","nhtsa-vpic"
"Mastiff Trailers","Mastiff Trailers","","","","","nhtsa-vpic"
"Material Transfer","Material Transfer","","","","","nhtsa-vpic"
"Materials Processing Systems","Materials Processing Systems","","","","","nhtsa-vpic"
"Mathews Mechanical Contractors Inc","Mathews Mechanical Contractors Inc Trailer","","","","","nhtsa-vpic"
"Matott's Welding","Matott's Welding","","","","","nhtsa-vpic"
"Matri-Arc Creations LLC","Matri-Arc Creations LLC","","","","","nhtsa-vpic"
"Matrix","Matrix, Inc","","","","","nhtsa-vpic"
"Matrix Manufacturing","Matrix Manufacturing, Inc.","","","","","nhtsa-vpic"
"Matrix Manufacturing Company","Matrix Manufacturing Company","","","","","nhtsa-vpic"
"Matrix Motor Company","Matrix Motor Company","","","","","nhtsa-vpic"
"Matrixx Specialized Trailers","Matrixx Specialized Trailers","","","","","nhtsa-vpic"
"Mattman Global Specialty Vehicles","Mattman Global Specialty Vehicles","","","","","nhtsa-vpic"
"Matty's  Marine & Motorsports, Inc","Matty's  Marine & Motorsports, Inc Trailer","","","","","nhtsa-vpic"
"Mauck Special Vehicles","1120S","","","","","nhtsa-vpic"
"Maupin Welding","Maupin Welding","","","","","nhtsa-vpic"
"Mauslein Fuel Max","Mauslein Fuel Max","","","","","nhtsa-vpic"
"Maverick","Maverick","","","","","nhtsa-vpic"
"Maverick Trailers USA","Maverick Trailers USA","","","","","nhtsa-vpic"
"Max Built","Max Built","","","","","nhtsa-vpic"
"Max Trailer","Max Trailer","","","","","nhtsa-vpic"
"Max-Pak","Max-Pak","","","","","nhtsa-vpic"
"Maxey Companies","Maxey Companies Inc.","","","","","nhtsa-vpic"
"Maxey Trailers","Maxey Trailers","","","","","nhtsa-vpic"
"Maxey Trailers MFG","Maxey Trailers MFG","","","","","nhtsa-vpic"
"Maxey Welding","Maxey Welding","","","","","nhtsa-vpic"
"Maxi Roule Inc","Maxi Roule Inc","","","","","nhtsa-vpic"
"Maxi-Cube","Maxi-Cube Transportation Systems","","","","","nhtsa-vpic"
"Maxim","Great Northern Equipment Distributing, Inc.","","","","","nhtsa-vpic"
"Maxim Inc.","Brush Breaker","","","","","nhtsa-vpic"
"Maxim Inc.","Midship Aerial","","","","","nhtsa-vpic"
"Maxim Inc.","Pumper","","","","","nhtsa-vpic"
"Maxim Inc.","Rear Mount Aerial","","","","","nhtsa-vpic"
"Maxim Inc.","Tanker","","","","","nhtsa-vpic"
"Maxim Inc.","Tractor Drawn Aerial","","","","","nhtsa-vpic"
"Maximum Cargo Trailers","Maximum Cargo Trailers","","","","","nhtsa-vpic"
"Maxweld Boats","Maxweld Boats, Inc.","","","","","nhtsa-vpic"
"Maxxim","Maxxim","","","","","nhtsa-vpic"
"Maxxum","Maxxum, LLC","","","","","nhtsa-vpic"
"Maybach","57","","","","","nhtsa-vpic"
"Maybach","62","","","","","nhtsa-vpic"
"Mayes Welding","Mayes Welding Trailer","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Alter-C","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Alter-S","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Bullet","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Chaos","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Comet","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Fury","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Lynx","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Pegasus","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Phantom","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Prowler","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Rogue","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Stallion","","","","","nhtsa-vpic"
"Mayhem Autoworkz","Wraith","","","","","nhtsa-vpic"
"Mayhem Bike","ALTER EGO","","","","","nhtsa-vpic"
"Mayhem Bike","BULLET","","","","","nhtsa-vpic"
"Mayhem Bike","CHAOS","","","","","nhtsa-vpic"
"Mayhem Bike","HOLIDAY","","","","","nhtsa-vpic"
"Mayhem Bike","MEDALLION","","","","","nhtsa-vpic"
"Mayhem Bike","ROGUE","","","","","nhtsa-vpic"
"Mayhem Bike","RUSHMORE","","","","","nhtsa-vpic"
"Mayhem Bike","ZEPHYR","","","","","nhtsa-vpic"
"Maynard & Company","Maynard & Company","","","","","nhtsa-vpic"
"Maynard Fab & Trailer Sales","Maynard Fab & Trailer Sales LLC","","","","","nhtsa-vpic"
"Mazda","323","","","","","nhtsa-vpic"
"Mazda","626","","","","","nhtsa-vpic"
"Mazda","929","","","","","nhtsa-vpic"
"Mazda","B-Series","","","","","nhtsa-vpic"
"Mazda","CX-3","","","","","nhtsa-vpic"
"Mazda","CX-30","","","","","nhtsa-vpic"
"Mazda","CX-5","","","","","nhtsa-vpic"
"Mazda","CX-50","","","","","nhtsa-vpic"
"Mazda","CX-7","","","","","nhtsa-vpic"
"Mazda","CX-70","","","","","nhtsa-vpic"
"Mazda","CX-9","","","","","nhtsa-vpic"
"Mazda","CX-90","","","","","nhtsa-vpic"
"Mazda","GLC","","","","","nhtsa-vpic"
"Mazda","MPV","","","","","nhtsa-vpic"
"Mazda","MX-3","","","","","nhtsa-vpic"
"Mazda","MX-30","","","","","nhtsa-vpic"
"Mazda","MX-5","","","","","nhtsa-vpic"
"Mazda","MX-6","","","","","nhtsa-vpic"
"Mazda","Mazda2","","","","","nhtsa-vpic"
"Mazda","Mazda3","","","","","nhtsa-vpic"
"Mazda","Mazda5","","","","","nhtsa-vpic"
"Mazda","Mazda6","","","","","nhtsa-vpic"
"Mazda","Millenia","","","","","nhtsa-vpic"
"Mazda","Navajo","","","","","nhtsa-vpic"
"Mazda","Protege","","","","","nhtsa-vpic"
"Mazda","RX-7","","","","","nhtsa-vpic"
"Mazda","RX-8","","","","","nhtsa-vpic"
"Mazda","Tribute","","","","","nhtsa-vpic"
"McALLISTER","McALLISTER  MOTORCYCLE","","","","","nhtsa-vpic"
"McCOY Manufacturing, LLC","McCOY Manufacturing, LLC","","","","","nhtsa-vpic"
"McCann's Customs","McCann's Customs","","","","","nhtsa-vpic"
"McCartney Trailers","McCartney Trailers","","","","","nhtsa-vpic"
"McClain","McClain","","","","","nhtsa-vpic"
"McClain Trailer Co.","McClain Trailer Co.","","","","","nhtsa-vpic"
"McClain Trailers, Inc","McClain Trailers, Inc","","","","","nhtsa-vpic"
"McCormic","McCormic","","","","","nhtsa-vpic"
"McCormick Machine","McCormick Machine Trailer","","","","","nhtsa-vpic"
"McCown Technology Corporation","McCown Technology Corporation","","","","","nhtsa-vpic"
"McCullough","McCullough Aluminum Trailer","","","","","nhtsa-vpic"
"McCullough Trailer Corporation","McCullough Trailer Corporation","","","","","nhtsa-vpic"
"McCullugh Trailers","McCullugh Trailers","","","","","nhtsa-vpic"
"McElrath Trailers","McElrath Trailers","","","","","nhtsa-vpic"
"McKay","McKay","","","","","nhtsa-vpic"
"McKenzie","McKenzie","","","","","nhtsa-vpic"
"McLaren","540C","","","","","nhtsa-vpic"
"McLaren","570GT","","","","","nhtsa-vpic"
"McLaren","570S","","","","","nhtsa-vpic"
"McLaren","600LT","","","","","nhtsa-vpic"
"McLaren","620R","","","","","nhtsa-vpic"
"McLaren","625C","","","","","nhtsa-vpic"
"McLaren","650S","","","","","nhtsa-vpic"
"McLaren","675LT","","","","","nhtsa-vpic"
"McLaren","720S","","","","","nhtsa-vpic"
"McLaren","750S","","","","","nhtsa-vpic"
"McLaren","765LT","","","","","nhtsa-vpic"
"McLaren","Artura","","","","","nhtsa-vpic"
"McLaren","ELVA","","","","","nhtsa-vpic"
"McLaren","GT","","","","","nhtsa-vpic"
"McLaren","GTS","","","","","nhtsa-vpic"
"McLaren","MP4-12C","","","","","nhtsa-vpic"
"McLaren","P1","","","","","nhtsa-vpic"
"McLaren","SENNA GTR","","","","","nhtsa-vpic"
"McLaren","Senna","","","","","nhtsa-vpic"
"McLaughlin","CS418","","","","","nhtsa-vpic"
"McLaughlin Refuse Equip., Inc.","McLaughlin Refuse Equip., Inc.","","","","","nhtsa-vpic"
"McMiller's Chop Shop","McMiller's Chop Shop","","","","","nhtsa-vpic"
"McNeilus","Aerial","","","","","nhtsa-vpic"
"McNeilus","Airport","","","","","nhtsa-vpic"
"McNeilus","Ambulance","","","","","nhtsa-vpic"
"McNeilus","Concrete","","","","","nhtsa-vpic"
"McNeilus","Defense - Heavy","","","","","nhtsa-vpic"
"McNeilus","Defense - Light","","","","","nhtsa-vpic"
"McNeilus","Defense - Medium","","","","","nhtsa-vpic"
"McNeilus","H-Series","","","","","nhtsa-vpic"
"McNeilus","McNeilus","","","","","nhtsa-vpic"
"McNeilus","Pumper","","","","","nhtsa-vpic"
"McNeilus","Recovery","","","","","nhtsa-vpic"
"McNeilus","Rescue","","","","","nhtsa-vpic"
"McNeilus","Tractor","","","","","nhtsa-vpic"
"McNeilus","Truck","","","","","nhtsa-vpic"
"McNeilus","Volterra ZSL","","","","","nhtsa-vpic"
"McNew Fabrication Inc.","McNew Fabrication Inc.","","","","","nhtsa-vpic"
"Mcadus US Product Development","Mcadus US Product Development, LLC","","","","","nhtsa-vpic"
"Mckinley Enterprises dba Longhorn Trailers","Mckinley Enterprises dba Longhorn Trailers","","","","","nhtsa-vpic"
"Mclendon Trailers","Mclendon Trailers","","","","","nhtsa-vpic"
"Me-Two Manufacturing LLC","Me-Two Manufacturing LLC","","","","","nhtsa-vpic"
"MechCleSol","MechCleSol","","","","","nhtsa-vpic"
"Mechanical Design","Mechanical Design","","","","","nhtsa-vpic"
"Mechanical Mayhem","Mechanical Mayhem","","","","","nhtsa-vpic"
"Mechgineering & Design LLC","Mechgineering & Design LLC","","","","","nhtsa-vpic"
"Mechtronic Solutions","Mechtronic Solutions Inc.","","","","","nhtsa-vpic"
"Medford Steel","Medford Steel","","","","","nhtsa-vpic"
"Medic","Medic Equipment Co Inc","","","","","nhtsa-vpic"
"Medical Coaches","Medical Coaches, Inc.","","","","","nhtsa-vpic"
"Medical Structures","Medical Structures","","","","","nhtsa-vpic"
"Meeks Engineering","Meeks Engineering","","","","","nhtsa-vpic"
"Meeks Truck & Trailer","Meeks Truck & Trailer","","","","","nhtsa-vpic"
"Mega Tiny Homes","Bear","","","","","nhtsa-vpic"
"Mega Tiny Homes","Blue Mountain","","","","","nhtsa-vpic"
"Mega Tiny Homes","Blue Mountain Summit","","","","","nhtsa-vpic"
"Mega Tiny Homes","Bridgeview","","","","","nhtsa-vpic"
"Mega Tiny Homes","Eagle Cap","","","","","nhtsa-vpic"
"Mega Tiny Homes","Eagle Cap Summit","","","","","nhtsa-vpic"
"Mega Tiny Homes","Mega Tiny Homes","","","","","nhtsa-vpic"
"Mega Tiny Homes","Tollgate","","","","","nhtsa-vpic"
"Mega Tiny Homes","Tollgate Summit","","","","","nhtsa-vpic"
"Mega Transportaciones S. de R.L. de C.V. (VANCRAFT)","Mega Transportaciones S. de R.L. de C.V. (VANCRAFT)","","","","","nhtsa-vpic"
"Memory Maker","Model 7000/3000","","","","","nhtsa-vpic"
"Menard Manufacturing Company","Menard Manufacturing Company, Inc.","","","","","nhtsa-vpic"
"Mensch","2VSBK","","","","","nhtsa-vpic"
"Mensch","4VSBK","","","","","nhtsa-vpic"
"Mensch","Custom","","","","","nhtsa-vpic"
"Mensch Manufacturing Marine Division Inc","Mensch Manufacturing Marine Division Inc Trailer","","","","","nhtsa-vpic"
"Mercedes-Benz","190","","","","","nhtsa-vpic"
"Mercedes-Benz","240","","","","","nhtsa-vpic"
"Mercedes-Benz","260","","","","","nhtsa-vpic"
"Mercedes-Benz","280","","","","","nhtsa-vpic"
"Mercedes-Benz","300","","","","","nhtsa-vpic"
"Mercedes-Benz","350","","","","","nhtsa-vpic"
"Mercedes-Benz","380","","","","","nhtsa-vpic"
"Mercedes-Benz","400","","","","","nhtsa-vpic"
"Mercedes-Benz","420","","","","","nhtsa-vpic"
"Mercedes-Benz","500","","","","","nhtsa-vpic"
"Mercedes-Benz","560","","","","","nhtsa-vpic"
"Mercedes-Benz","600","","","","","nhtsa-vpic"
"Mercedes-Benz","A-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","AMG GT","","","","","nhtsa-vpic"
"Mercedes-Benz","B-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","C-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","CL-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","CLA-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","CLE","","","","","nhtsa-vpic"
"Mercedes-Benz","CLK-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","CLS-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","E-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","EQB-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","EQC-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","EQE-Class SUV","","","","","nhtsa-vpic"
"Mercedes-Benz","EQE-Class Sedan","","","","","nhtsa-vpic"
"Mercedes-Benz","EQS-Class SUV","","","","","nhtsa-vpic"
"Mercedes-Benz","EQS-Class Sedan","","","","","nhtsa-vpic"
"Mercedes-Benz","G-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","GL-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","GLA-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","GLB-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","GLC-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","GLE-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","GLK-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","GLS-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","L1013","","","","","nhtsa-vpic"
"Mercedes-Benz","L1113","","","","","nhtsa-vpic"
"Mercedes-Benz","L1116","","","","","nhtsa-vpic"
"Mercedes-Benz","L1117","","","","","nhtsa-vpic"
"Mercedes-Benz","L1316","","","","","nhtsa-vpic"
"Mercedes-Benz","L1317","","","","","nhtsa-vpic"
"Mercedes-Benz","L1319","","","","","nhtsa-vpic"
"Mercedes-Benz","L1418","","","","","nhtsa-vpic"
"Mercedes-Benz","L1419","","","","","nhtsa-vpic"
"Mercedes-Benz","LP1219","","","","","nhtsa-vpic"
"Mercedes-Benz","LP1419","","","","","nhtsa-vpic"
"Mercedes-Benz","LPS1525","","","","","nhtsa-vpic"
"Mercedes-Benz","M-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","ML-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","Metris","","","","","nhtsa-vpic"
"Mercedes-Benz","R-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","S-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","SL-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","SLC-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","SLK-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","SLR McLaren","","","","","nhtsa-vpic"
"Mercedes-Benz","SLS-Class","","","","","nhtsa-vpic"
"Mercedes-Benz","Sprinter","","","","","nhtsa-vpic"
"Mercedes-Benz","Tourrider Business","","","","","nhtsa-vpic"
"Mercedes-Benz","Tourrider Premium","","","","","nhtsa-vpic"
"Mercedes-Benz","eSprinter","","","","","nhtsa-vpic"
"Merch Motorcycle Co.","Merch Motorcycle Co., Inc.","","","","","nhtsa-vpic"
"Merchant's Trailers and Grills","Merchants Trailers and Grills LLC","","","","","nhtsa-vpic"
"Mercury","Capri","","","","","nhtsa-vpic"
"Mercury","Cougar","","","","","nhtsa-vpic"
"Mercury","Grand Marquis","","","","","nhtsa-vpic"
"Mercury","Lynx","","","","","nhtsa-vpic"
"Mercury","MARQUIS","","","","","nhtsa-vpic"
"Mercury","Marauder","","","","","nhtsa-vpic"
"Mercury","Mariner","","","","","nhtsa-vpic"
"Mercury","Milan","","","","","nhtsa-vpic"
"Mercury","Montego","","","","","nhtsa-vpic"
"Mercury","Monterey","","","","","nhtsa-vpic"
"Mercury","Mountaineer","","","","","nhtsa-vpic"
"Mercury","Mystique","","","","","nhtsa-vpic"
"Mercury","Sable","","","","","nhtsa-vpic"
"Mercury","Topaz","","","","","nhtsa-vpic"
"Mercury","Tracer","","","","","nhtsa-vpic"
"Mercury","Villager","","","","","nhtsa-vpic"
"Mercury","Zephyr","","","","","nhtsa-vpic"
"Merhow Industries","Merhow Industries","","","","","nhtsa-vpic"
"Meridian","Meridian","","","","","nhtsa-vpic"
"Meridian Motors Company","2 Seater","","","","","nhtsa-vpic"
"Meridian Motors Company","4 Seater","","","","","nhtsa-vpic"
"Meridian Motors Company","Mini Truck","","","","","nhtsa-vpic"
"Meridian Motors Company","Streach 2 seater","","","","","nhtsa-vpic"
"Merit Tank","Merit Tank","","","","","nhtsa-vpic"
"Mermaid Trailers","Mermaid Trailers","","","","","nhtsa-vpic"
"Merritt","Merritt","","","","","nhtsa-vpic"
"Merritt","Merritt Equipment Co.","","","","","nhtsa-vpic"
"Mertz","Diamond Trailers","","","","","nhtsa-vpic"
"Mertz","Dump (construction)","","","","","nhtsa-vpic"
"Mertz","Haliburton (contract)","","","","","nhtsa-vpic"
"Mertz","M18/617","","","","","nhtsa-vpic"
"Mertz","M26/619","","","","","nhtsa-vpic"
"Mertz","Mertz, Inc.","","","","","nhtsa-vpic"
"Mertz","Stewart Stevenson (contract)","","","","","nhtsa-vpic"
"Mertz","Tenders (dry bulk)","","","","","nhtsa-vpic"
"Mertz Manufacturing","Mertz Manufacturing, LLC","","","","","nhtsa-vpic"
"Mesale Fab","Mesale Fab","","","","","nhtsa-vpic"
"Mesco Industries, Inc.","Mesco Industries, Inc.","","","","","nhtsa-vpic"
"Meske Welding","Meske Welding","","","","","nhtsa-vpic"
"Mesla","Mesla","","","","","nhtsa-vpic"
"MetaGuard Systems LLC","MetaGuard Systems LLC","","","","","nhtsa-vpic"
"Metal Craft Manufacturing","Metal Craft Manufacturing LLC","","","","","nhtsa-vpic"
"Metal Craft Trailers","Metal Craft Trailers","","","","","nhtsa-vpic"
"Metal Fab","T-48/T-58/T-68","","","","","nhtsa-vpic"
"Metal Fab","T-510/T-610","","","","","nhtsa-vpic"
"Metal Mansions","Metal Mansions","","","","","nhtsa-vpic"
"Metal Systems, Inc. dba Gator Trailers","Metal Systems, Inc. dba Gator Trailers","","","","","nhtsa-vpic"
"Metal Tank","Metal Tank","","","","","nhtsa-vpic"
"Metal Valley MFG","Metal Valley MFG","","","","","nhtsa-vpic"
"Metal-Link","Metal-Link","","","","","nhtsa-vpic"
"Metalcraft Tool & Die","Metalcraft Tool & Die Inc.","","","","","nhtsa-vpic"
"Metalcraft of Mayville","Metalcraft of Mayville","","","","","nhtsa-vpic"
"Metalwerx Trailers","Metalwerx Trailers","","","","","nhtsa-vpic"
"Metbox","Metbox","","","","","nhtsa-vpic"
"Meter Engineers Inc.","Meter Engineers Inc.","","","","","nhtsa-vpic"
"Metro Tank & Steel, Inc","Metro Tank & Steel, Inc","","","","","nhtsa-vpic"
"Metro Trailer","Metro Trailer","","","","","nhtsa-vpic"
"Metro Trailer Manufacturing, Inc","Conventional","","","","","nhtsa-vpic"
"Metro Trailer Manufacturing, Inc","Conventional Dolly","","","","","nhtsa-vpic"
"Metro Trailer Manufacturing, Inc","Stinger 60 Foot","","","","","nhtsa-vpic"
"Metro Trailer Manufacturing, Inc","Stinger 65 Foot","","","","","nhtsa-vpic"
"Metro Trailer Manufacturing, Inc","Stinger 75 Foot","","","","","nhtsa-vpic"
"Metro Tram","Metro Tram","","","","","nhtsa-vpic"
"MetroRider LLC","HL100 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL110 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL125 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL150 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL200 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL250 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL50 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL80 series","","","","","nhtsa-vpic"
"MetroRider LLC","HL90 series","","","","","nhtsa-vpic"
"Metrolina","ECOCoach","","","","","nhtsa-vpic"
"Metrolina","ECOSaver","","","","","nhtsa-vpic"
"Metrolina","ECOSmart","","","","","nhtsa-vpic"
"Metry","Metry Custom Cycles","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","10001415","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","10001617","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","12001415","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","12001617","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","1251516","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","1501617","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","15751718","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","16001516","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","16001617","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","20001617","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","20001718","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","24001718","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","24001920","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","24002122","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","26001920","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","26002122","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","2601718","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","32001718","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","32001920","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","32002122","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","9001415","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","CS1001418","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","CS80018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","E-18","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","ET-18","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","MJ-1400","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","MJ-600","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","MJ-900","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM3408","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM3410","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM4408","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM4410","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM5408","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM5410","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM6008","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM6010","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM7208","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SM7210","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR120015","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR120017","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR130015","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR130017","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR160015","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR160017","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR210018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR210020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR210022","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR250018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR250020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR250022","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR265018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR265020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR300018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR300020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","SR300022","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","T4002526","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR400018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR400020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR400022","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR400024","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR450018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR450020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR450022","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR450024","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR450026","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR500018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR500020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR500022","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR500024","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR500026","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR550018","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR550020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR550024","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TR550026","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TU-60136","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","TU-72136","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-34648","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-34968","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-44968","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-5412020","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-547220","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-549620","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-6012010","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-60136","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-607210","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-609610","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-7212010","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-72136","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-727210","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U-729610","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U44648","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U5412010","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U5412015","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U547215","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U549610","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","U549615","","","","","nhtsa-vpic"
"Metzger Machine & Engineering","WTV-1719","","","","","nhtsa-vpic"
"Meyer","Meyer","","","","","nhtsa-vpic"
"Meyers Trailers","SCHRUDER LLC","","","","","nhtsa-vpic"
"MiLG","BLW","","","","","nhtsa-vpic"
"MiLG","CH","","","","","nhtsa-vpic"
"MiLG","CONQUEROR","","","","","nhtsa-vpic"
"MiLG","JY","","","","","nhtsa-vpic"
